Order,species.name,phylo.name,mean.uvb
Anura,Leptopelis_flavomaculatus,Leptopelis_flavomaculatus,5278.36
Anura,Leptopelis_gramineus,Leptopelis_gramineus,6983.11
Anura,Leptopelis_grandiceps,,5285.33
Anura,Leptopelis_jordani,Leptopelis_jordani,5301.65
Anura,Leptopelis_karissimbensis,Leptopelis_karissimbensis,5066.27
Anura,Leptopelis_kivuensis,Leptopelis_kivuensis,5241.11
Anura,Leptopelis_lebeaui,Leptopelis_lebeaui,5523.45
Anura,Leptopelis_mackayi,Leptopelis_mackayi,5248.54
Anura,Leptopelis_macrotis,Leptopelis_macrotis,5504.05
Anura,Leptopelis_marginatus,Leptopelis_marginatus,5421.32
Anura,Leptopelis_millsoni,Leptopelis_millsoni,5379.39
Anura,Leptopelis_modestus,Leptopelis_modestus,5264.74
Anura,Leptopelis_mossambicus,Leptopelis_mossambicus,4508.85
Anura,Leptopelis_mtoewaate,,4925.09
Anura,Leptopelis_natalensis,Leptopelis_natalensis,3613.08
Anura,Leptopelis_nordequatorialis,Leptopelis_nordequatorialis,5554.21
Anura,Leptopelis_notatus,Leptopelis_notatus,5400.11
Anura,Leptopelis_occidentalis,Leptopelis_occidentalis,5512.85
Anura,Leptopelis_ocellatus,Leptopelis_ocellatus,5364.9
Anura,Leptopelis_oryi,Leptopelis_oryi,5624.65
Anura,Leptopelis_palmatus,Leptopelis_palmatus,5052.65
Anura,Leptopelis_parbocagii,Leptopelis_parbocagii,5473.32
Anura,Leptopelis_parkeri,Leptopelis_parkeri,5453.96
Anura,Leptopelis_parvus,Leptopelis_parvus,5145.42
Anura,Leptopelis_ragazzii,Leptopelis_ragazzii,6725.1
Anura,Leptopelis_rufus,Leptopelis_rufus,5264.35
Anura,Leptopelis_spiritusnoctis,Leptopelis_spiritusnoctis,5483.99
Anura,Leptopelis_susanae,Leptopelis_susanae,6223.25
Anura,Leptopelis_uluguruensis,Leptopelis_uluguruensis,5493.2
Anura,Leptopelis_vannutellii,Leptopelis_vannutellii,5852.18
Anura,Leptopelis_vermiculatus,Leptopelis_vermiculatus,5326.62
Anura,Leptopelis_viridis,Leptopelis_viridis,5648.73
Anura,Leptopelis_xenodactylus,Leptopelis_xenodactylus,3657.13
Anura,Leptopelis_yaldeni,Leptopelis_yaldeni,6848.99
Anura,Leptopelis_zebra,Leptopelis_zebra,5641.1
Anura,Nyctibates_corrugatus,Nyctibates_corrugatus,5433.38
Anura,Scotobleps_gabonicus,Scotobleps_gabonicus,5291.51
Anura,Trichobatrachus_robustus,Trichobatrachus_robustus,5261.04
Anura,Ascaphus_montanus,Ascaphus_montanus,2291.54
Anura,Ascaphus_truei,Ascaphus_truei,2044.96
Anura,Atelognathus_ceii,Atelognathus_ceii,2492.26
Anura,Atelognathus_jeinimenensis,Atelognathus_jeinimenensis,
Anura,Atelognathus_nitoi,Atelognathus_nitoi,3024.95
Anura,Atelognathus_patagonicus,Atelognathus_patagonicus,3297.52
Anura,Atelognathus_praebasalticus,Atelognathus_praebasalticus,3273.9
Anura,Atelognathus_reverberii,Atelognathus_reverberii,3033.1
Anura,Atelognathus_salai,Atelognathus_salai,2516.13
Anura,Atelognathus_solitarius,Atelognathus_solitarius,3143.84
Anura,Batrachyla_antartandica,Batrachyla_antartandica,2231.53
Anura,Batrachyla_fitzroya,Batrachyla_fitzroya,2606.85
Anura,Batrachyla_leptopus,Batrachyla_leptopus,2511.58
Anura,Batrachyla_nibaldoi,Batrachyla_nibaldoi,1943.98
Anura,Batrachyla_taeniata,Batrachyla_taeniata,2657.21
Anura,Chaltenobatrachus_grandisonae,Chaltenobatrachus_grandisonae,1762.33
Anura,Hylorina_sylvatica,Hylorina_sylvatica,2384.06
Anura,Barbourula_busuangensis,Barbourula_busuangensis,5319.19
Anura,Barbourula_kalimantanensis,Barbourula_kalimantanensis,5692.24
Anura,Bombina_bombina,Bombina_bombina,1787.95
Anura,Bombina_maxima,Bombina_maxima,4333.34
Anura,Bombina_microdeladigitora,Bombina_microdeladigitora,4522.25
Anura,Bombina_orientalis,Bombina_orientalis,2086.18
Anura,Bombina_pachypus,Bombina_pachypus,2513.19
Anura,Bombina_variegata,Bombina_variegata,2084.29
Anura,Brachycephalus_actaeus,,
Anura,Brachycephalus_albolineatus,,
Anura,Brachycephalus_alipioi,Brachycephalus_alipioi,4391.56
Anura,Brachycephalus_atelopoide,Brachycephalus_atelopoide,
Anura,Brachycephalus_auroguttatus,,
Anura,Brachycephalus_boticario,,
Anura,Brachycephalus_brunneus,Brachycephalus_brunneus,3773.87
Anura,Brachycephalus_bufonoides,Brachycephalus_bufonoides,
Anura,Brachycephalus_coloratus,,
Anura,Brachycephalus_crispus,,
Anura,Brachycephalus_curupira,,
Anura,Brachycephalus_darkside,,
Anura,Brachycephalus_didactylus,Brachycephalus_didactylus,4199.57
Anura,Brachycephalus_ephippium,Brachycephalus_ephippium,4518.77
Anura,Brachycephalus_ferruginus,Brachycephalus_ferruginus,3645.91
Anura,Brachycephalus_fuscolineatus,,
Anura,Brachycephalus_garbeanus,Brachycephalus_garbeana,
Anura,Brachycephalus_guarani,Brachycephalus_guarani,
Anura,Brachycephalus_hermogenesi,Brachycephalus_hermogenesi,3893.97
Anura,Brachycephalus_izecksohni,Brachycephalus_izecksohni,3862.64
Anura,Brachycephalus_leopardus,,
Anura,Brachycephalus_margaritatus,Brachycephalus_margaritatus,
Anura,Brachycephalus_mariaeterezae,,
Anura,Brachycephalus_mirissimus,,
Anura,Brachycephalus_nodoterga,Brachycephalus_nodoterga,3797.6
Anura,Brachycephalus_olivaceus,,
Anura,Brachycephalus_pernix,Brachycephalus_pernix,3604.45
Anura,Brachycephalus_pitanga,Brachycephalus_pitanga,
Anura,Brachycephalus_pombali,Brachycephalus_pombali,3637.76
Anura,Brachycephalus_pulex,Brachycephalus_pulex,
Anura,Brachycephalus_quiririensis,,
Anura,Brachycephalus_sulfuratus,,
Anura,Brachycephalus_toby,Brachycephalus_toby,
Anura,Brachycephalus_tridactylus,Brachycephalus_tridactylus,
Anura,Brachycephalus_verrucosus,,
Anura,Brachycephalus_vertebralis,Brachycephalus_vertebralis,4083.81
Anura,Ischnocnema_abdita,Ischnocnema_abdita,
Anura,Ischnocnema_bocaina,,
Anura,Ischnocnema_bolbodactyla,Ischnocnema_bolbodactyla,3906.9
Anura,Ischnocnema_colibri,,
Anura,Ischnocnema_concolor,Ischnocnema_concolor,
Anura,Ischnocnema_epipeda,Ischnocnema_epipeda,4393
Anura,Ischnocnema_erythromera,Ischnocnema_erythromera,4146.56
Anura,Ischnocnema_feioi,,
Anura,Ischnocnema_garciai,,
Anura,Ischnocnema_gehrti,Ischnocnema_gehrti,3615.94
Anura,Ischnocnema_gualteri,Ischnocnema_gualteri,4245.9
Anura,Ischnocnema_guentheri,Ischnocnema_guentheri,4242.46
Anura,Ischnocnema_henselii,Ischnocnema_henselii,3792.25
Anura,Ischnocnema_hoehnei,Ischnocnema_hoehnei,4134.3
Anura,Ischnocnema_holti,Ischnocnema_holti,4217.4
Anura,Ischnocnema_izecksohni,Ischnocnema_izecksohni,4674.16
Anura,Ischnocnema_juipoca,Ischnocnema_juipoca,4833.87
Anura,Ischnocnema_karst,Ischnocnema_karst,
Anura,Ischnocnema_lactea,Ischnocnema_lactea,4439.19
