Species,Order,Body_Mass,ClutchSize,GenSizMed,IUCNStat_2020,IUCNTrend_2020,PhyloPosition,RangeSize (km^2),Latitude,AnnTempRange,PpSeasonality
Limnodynastes_fletcheri,Anura,15.02887126,300,3.79,LC,Stable,3621,1438126.234,-28.96746088,31,33
Limnodynastes_peronii,Anura,37.61121102,1153.5,2.25,LC,Increasing,3620,716406.0506,-29.5722292,31,38
Limnodynastes_tasmaniensis,Anura,11.39764997,820,2.4,LC,Stable,3619,2621391.065,-29.82550126,30,29
Limnodynastes_terraereginae,Anura,48.58061699,768.5,1.95,LC,Stable,3617,612322.1471,-23.70790975,27,60
Litoria_bicolor,Anura,2.108745242,518,4.79,LC,Stable,1874,909599.3963,-15.52292718,24,115
Mannophryne_trinitatis,Anura,1.889386307,7,2.98,LC,Stable,3415,1093.591303,10.64715709,11,48
Mantella_aurantiaca,Anura,2.345109567,126,4.8,EN,Decreasing,4148,535.2896109,-18.93825613,17,72
Mantella_betsileo,Anura,1.326370633,35,5.3,LC,Stable,4142,79587.7402,-18.7189033,22,103
Mantella_cowanii,Anura,2.345109567,39.5,5.5,EN,NA,4154,253.4399851,-20.42254488,18,83
Mantidactylus_aerumnalis,Anura,2.345109567,NA,4.8,LC,Decreasing,4085,37010.36431,-21.58542787,17,75
Mantidactylus_betsileanus,Anura,6.27305292,NA,4.15,LC,Stable,4074,87391.03762,-19.70756798,17,70
Mantidactylus_biporus,Anura,3.163318648,NA,4.55,LC,Decreasing,4090,88013.95154,-18.96208738,17,71
Mantidactylus_curtus,Anura,#VALUE!,NA,4.7,LC,Stable,4078,225113.2246,-19.63381751,19,88
Mantidactylus_femoralis,Anura,15.02887126,NA,4.65,LC,NA,4093,188173.4974,-18.53645457,18,87
Mantidactylus_lugubris,Anura,7.844401156,NA,5.25,LC,Stable,4091,102720.769,-20.20415772,17,67
Megophrys_nasuta,Anura,478.0793598,1753.5,1.827,LC,Stable,6297,742352.9561,1.134703372,10,20
Microhyla_ornata,Anura,2.599184929,693.5,5.15,LC,Stable,5458,3194135.476,22.74324099,32,128
Nectophrynoides_tornieri,Anura,3.163318648,23,3.671,LC,Decreasing,144,2708.579368,-7.261977985,15,82
Neobatrachus_pictus,Anura,23.33536674,600,2.77,LC,Stable,3644,348363.4714,-34.27881417,27,23
Neobatrachus_sudelli,Anura,15.02887126,3161.5,2.615,LC,Stable,3645,1088617.081,-32.36069657,29,16
Nimbaphrynoides_occidentalis,Anura,2.87168246,19.5,3.379,CR,Stable,97,5.891865093,7.63308755,19,64
Odontophrynus_americanus,Anura,32.82985012,6500,1.623,LC,Stable,628,3509448.384,-25.82593146,23,25
Odontophrynus_carvalhoi,Anura,32.82985012,NA,1.58,LC,NA,631,866683.0102,-9.567685989,17,96
Odontophrynus_cultripes,Anura,34.37385972,NA,2.155,LC,Stable,630,391090.4528,-18.71101511,16,81
Odontophrynus_occidentalis,Anura,25.82203859,NA,1.58,LC,Stable,626,777746.9325,-36.57313675,33,50
Odorrana_livida,Anura,105.5572702,2162,6.34,DD,NA,4348,7.903498682,15.99293893,20,100
Oophaga_pumilio,Anura,1.16809154,10,4.689,LC,NA,3319,56446.49172,11.42683041,11,47
Osteocephalus_taurinus,Anura,118.0281567,1275,2.4,LC,Stable,1200,5691300.17,-3.023320217,10,42
Osteopilus_ocellatus,Anura,42.85359781,278,1.83,LC,Stable,1218,7876.500836,18.21467476,11,46
Osteopilus_septentrionalis,Anura,528.2010128,2045.5,1.95,LC,Increasing,1217,124820.6778,22.16530879,16,61
Osteopilus_vastus,Anura,324.7622086,332,2.53,VU,NA,1219,21271.97487,18.84613848,17,54
Pelobates_cultripes,Anura,214.8521443,4750,3.957,VU,Decreasing,6307,491845.4422,40.13792409,31,36
Pelobates_fuscus,Anura,50.6014321,1772.5,4.47,LC,Decreasing,6309,5037668.073,51.862951,36,26
Pelobates_syriacus,Anura,74.11344159,4000,3.96,LC,Decreasing,6308,521295.9182,39.86716192,34,41
Pelodytes_caucasicus,Anura,15.02887126,415.5,2.27,NT,Decreasing,6312,23352.16252,42.45182791,31,14
Pelodytes_punctatus,Anura,11.76734864,820,2.44,LC,Decreasing,6310,778864.6815,44.2908438,26,14
Pelophylax_esculentus,Anura,97.27,5524,6.75,LC,Decreasing,4510,NA,NA,NA,NA
Pelophylax_lessonae,Anura,188.2341805,3210,6.43,LC,Decreasing,4511,3646896.948,52.04359252,32,32
Pelophylax_nigromaculatus,Anura,85.32680735,2800,6,NT,Decreasing,4519,4250175.926,37.23375645,40,106
Pelophylax_perezi,Anura,141.9918934,5400,7.101,LC,Decreasing,4515,654084.0528,40.62803894,29,34
Pelophylax_porosus,Anura,66.40390642,1900,5.95,LC,Decreasing,4524,103030.4806,36.38356217,35,51
Pelophylax_ridibundus,Anura,700.22,8335,7.66,LC,Increasing,4506,7988766.218,48.14107666,35,21
Pelophylax_shqipericus,Anura,41.05345795,2594.5,7.17,VU,Decreasing,4514,4680.669094,41.24339265,24,45
Petropedetes_cameronensis,Anura,10.33681038,NA,1.088,LC,Decreasing,4998,32569.34515,4.723794462,11,57
Phrynobatrachus_krefftii,Anura,11.76734864,22.5,1.692,EN,NA,5106,1977.642502,-4.838350424,15,61
Phrynobatrachus_natalensis,Anura,5.355815679,901,1.434,LC,Stable,5027,9954675.49,-4.258706035,13,44
Phyllomedusa_bicolor,Anura,275.6973936,1011,6.75,LC,Stable,1909,4869798.252,-3.463136999,10,42
Phyllomedusa_burmeisteri,Anura,48.58061699,315.5,6.545,LC,Stable,1901,990118.6703,-17.93917582,18,87
Physalaemus_biligonigerus,Anura,5.355815679,4953,1.86,LC,Stable,751,2339513.907,-26.10502152,25,42
Pipa_pipa,Anura,985.1184124,95,2.43,LC,Stable,6346,5551217.486,-4.342264357,11,39
Platypelis_barbouri,Anura,1.86835871,NA,6.3,LC,Decreasing,5570,36597.79228,-16.75770721,NA,NA
Platypelis_grandis,Anura,122.1250007,95,5.45,LC,NA,5576,128934.0509,-19.45944061,NA,NA
Platypelis_tuberifera,Anura,5.355815679,NA,5.75,LC,NA,5566,61390.14772,-17.45725992,NA,NA
Platyplectrum_ornatum,Anura,7.844401156,874,0.95,LC,Stable,3633,2250059.6,-20.28324506,28,104
Plethodontohyla_notosticta,Anura,6.27305292,81.5,5.05,LC,NA,5555,102547.2962,-19.5491591,16,62
Pleurodema_bibroni,Anura,15.02887126,450,2.56,NT,Decreasing,810,337141.728,-30.74072257,21,8
Pristimantis_chiastonotus,Anura,13.32923018,NA,3.14,LC,Stable,2458,320163.4186,2.632261923,12,49
Pristimantis_marmoratus,Anura,0.830276238,NA,2.9,LC,Stable,2219,815346.3101,3.167482475,12,68
